Index,Species,Magnorder,Superorder ,Order,Family,65 species Dataset,228 Species Dataset,Average Per Aln Missingness Post Filtering for Sliding Windows analysis
94,Muscardinus avellanarius,Boreoeutheria,Euarchontoglires,Rodentia,Gliridae,FALSE,TRUE,29.6
95,Dipodomys_ordii,Boreoeutheria,Euarchontoglires,Rodentia,Heteromyidae,TRUE,TRUE,39.2
96,Dipodomys stephensi,Boreoeutheria,Euarchontoglires,Rodentia,Heteromyidae,FALSE,TRUE,39.0
97,Perognathus longimembris,Boreoeutheria,Euarchontoglires,Rodentia,Heteromyidae,FALSE,TRUE,40.0
98,Hystrix_cristata,Boreoeutheria,Euarchontoglires,Rodentia,Hystricidae,TRUE,TRUE,22.6
99,Acomys cahirinus,Boreoeutheria,Euarchontoglires,Rodentia,Muridae,FALSE,TRUE,41.5
100,Meriones unguiculatus,Boreoeutheria,Euarchontoglires,Rodentia,Muridae,FALSE,FALSE,
101,Mus caroli,Boreoeutheria,Euarchontoglires,Rodentia,Muridae,FALSE,TRUE,41.0
102,Mus_musculus,Boreoeutheria,Euarchontoglires,Rodentia,Muridae,TRUE,TRUE,40.6
103,Mus pahari,Boreoeutheria,Euarchontoglires,Rodentia,Muridae,FALSE,TRUE,41.2
104,Mus spretus,Boreoeutheria,Euarchontoglires,Rodentia,Muridae,FALSE,TRUE,40.7
105,Psammomys obesus,Boreoeutheria,Euarchontoglires,Rodentia,Muridae,FALSE,FALSE,
106,Rattus norvegicus,Boreoeutheria,Euarchontoglires,Rodentia,Muridae,FALSE,TRUE,40.7
107,Myocastor coypus,Boreoeutheria,Euarchontoglires,Rodentia,Myocastoridae,FALSE,TRUE,32.8
108,Cricetomys_gambianus,Boreoeutheria,Euarchontoglires,Rodentia,Nesomyidae,TRUE,TRUE,36.3
109,Octodon_degus,Boreoeutheria,Euarchontoglires,Rodentia,Octodontidae,TRUE,TRUE,30.9
110,Petromus typicus,Boreoeutheria,Euarchontoglires,Rodentia,Petromuridae,FALSE,TRUE,33.2
111,Ictidomys tridecemlineatus,Boreoeutheria,Euarchontoglires,Rodentia,Sciuridae,FALSE,TRUE,23.2
112,Marmota marmota,Boreoeutheria,Euarchontoglires,Rodentia,Sciuridae,FALSE,TRUE,22.3
113,Spermophilus_dauricus,Boreoeutheria,Euarchontoglires,Rodentia,Sciuridae,TRUE,TRUE,22.2
114,Xerus inauris,Boreoeutheria,Euarchontoglires,Rodentia,Sciuridae,FALSE,TRUE,20.2
115,Nannospalax galili,Boreoeutheria,Euarchontoglires,Rodentia,Spalacidae,FALSE,TRUE,31.9
116,Thryonomys swinderianus,Boreoeutheria,Euarchontoglires,Rodentia,Thryonomyidae,FALSE,TRUE,34.4
117,Tupaia_chinensis,Boreoeutheria,Euarchontoglires,Scandentia,Tupaiidae,TRUE,TRUE,21.1
118,Tupaia_tana,Boreoeutheria,Euarchontoglires,Scandentia,Tupaiidae,TRUE,TRUE,27.8
119,Ailurus fulgens,Boreoeutheria,Laurasiatheria,Carnivora,Ailuridae,FALSE,TRUE,13.1
120,Canis lupus,Boreoeutheria,Laurasiatheria,Carnivora,Canidae,FALSE,TRUE,11.7
121,Canis_lupus_familiaris,Boreoeutheria,Laurasiatheria,Carnivora,Canidae,TRUE,TRUE,12.2
122,Lycaon pictus,Boreoeutheria,Laurasiatheria,Carnivora,Canidae,FALSE,TRUE,17.3
123,Vulpes lagopus,Boreoeutheria,Laurasiatheria,Carnivora,Canidae,FALSE,TRUE,11.9
124,Cryptoprocta ferox,Boreoeutheria,Laurasiatheria,Carnivora,Eupleridae,FALSE,TRUE,12.3
125,Acinonyx jubatus,Boreoeutheria,Laurasiatheria,Carnivora,Felidae,FALSE,TRUE,13.1
126,Felis_catus,Boreoeutheria,Laurasiatheria,Carnivora,Felidae,TRUE,TRUE,11.6
127,Felis nigripes,Boreoeutheria,Laurasiatheria,Carnivora,Felidae,FALSE,FALSE,
128,Panthera onca,Boreoeutheria,Laurasiatheria,Carnivora,Felidae,FALSE,TRUE,11.2
129,Panthera pardus,Boreoeutheria,Laurasiatheria,Carnivora,Felidae,FALSE,TRUE,11.0
130,Panthera tigris,Boreoeutheria,Laurasiatheria,Carnivora,Felidae,FALSE,TRUE,12.7
131,Puma concolor,Boreoeutheria,Laurasiatheria,Carnivora,Felidae,FALSE,TRUE,13.6
132,Helogale parvula,Boreoeutheria,Laurasiatheria,Carnivora,Herpestidae,FALSE,TRUE,14.3
133,Mungos mungo,Boreoeutheria,Laurasiatheria,Carnivora,Herpestidae,FALSE,TRUE,14.3
134,Suricata suricatta,Boreoeutheria,Laurasiatheria,Carnivora,Herpestidae,FALSE,TRUE,14.5
135,Hyaena hyaena,Boreoeutheria,Laurasiatheria,Carnivora,Hyaenidae,FALSE,TRUE,12.7
136,Spilogale gracilis,Boreoeutheria,Laurasiatheria,Carnivora,Mephitidae,FALSE,TRUE,14.3
137,Enhydra lutris,Boreoeutheria,Laurasiatheria,Carnivora,Mustelidae,FALSE,TRUE,12.7
138,Mellivora capensis,Boreoeutheria,Laurasiatheria,Carnivora,Mustelidae,FALSE,TRUE,13.0
139,Mustela_putorius,Boreoeutheria,Laurasiatheria,Carnivora,Mustelidae,TRUE,TRUE,14.2
140,Pteronura brasiliensis,Boreoeutheria,Laurasiatheria,Carnivora,Mustelidae,FALSE,TRUE,12.8
141,Odobenus_rosmarus,Boreoeutheria,Laurasiatheria,Carnivora,Odobenidae,TRUE,TRUE,10.5
142,Zalophus californianus,Boreoeutheria,Laurasiatheria,Carnivora,Otariidae,FALSE,TRUE,10.5
143,Leptonychotes weddellii,Boreoeutheria,Laurasiatheria,Carnivora,Phocidae,FALSE,TRUE,12.2
144,Mirounga angustirostris,Boreoeutheria,Laurasiatheria,Carnivora,Phocidae,FALSE,TRUE,10.9
145,Neomonachus schauinslandi,Boreoeutheria,Laurasiatheria,Carnivora,Phocidae,FALSE,TRUE,10.9
146,Ailuropoda_melanoleuca,Boreoeutheria,Laurasiatheria,Carnivora,Ursidae,TRUE,TRUE,10.8
147,Ursus maritimus,Boreoeutheria,Laurasiatheria,Carnivora,Ursidae,FALSE,TRUE,12.2
148,Paradoxurus hermaphroditus,Boreoeutheria,Laurasiatheria,Carnivora,Viverridae,FALSE,TRUE,11.7
149,Antilocapra americana,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Antilocapridae,FALSE,TRUE,16.5
150,Eubalaena_japonica,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Balaenidae,TRUE,TRUE,9.6
151,Balaenoptera acutorostrata,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Balaenopteridae,FALSE,TRUE,10.2
152,Balaenoptera_bonaerensis,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Balaenopteridae,TRUE,TRUE,10.2
153,Ammotragus lervia,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,TRUE,16.8
154,Beatragus hunteri,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,TRUE,16.2
155,Bison bison,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,TRUE,19.0
156,Bos indicus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,FALSE,
157,Bos mutus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,TRUE,15.8
158,Bos_taurus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,TRUE,TRUE,16.0
159,Bubalus bubalis,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,TRUE,15.8
160,Capra aegagrus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,TRUE,17.2
161,Capra hircus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,TRUE,16.0
162,Hemitragus hylocrius,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,TRUE,16.0
163,Ovis aries,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,TRUE,16.2
164,Ovis canadensis,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,TRUE,17.3
165,Pantholops hodgsonii,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,TRUE,16.9
166,Saiga tatarica,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Bovidae,FALSE,FALSE,
167,Camelus bactrianus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Camelidae,FALSE,TRUE,11.2
168,Camelus_dromedarius,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Camelidae,TRUE,TRUE,11.4
169,Camelus ferus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Camelidae,FALSE,TRUE,11.7
170,Vicugna_pacos,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Camelidae,TRUE,TRUE,10.9
171,Elaphurus davidianus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Cervidae,FALSE,TRUE,14.4
172,Odocoileus virginianus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Cervidae,FALSE,TRUE,15.4
173,Rangifer tarandus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Cervidae,FALSE,TRUE,14.5
174,Orcinus orca,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Delphinidae,FALSE,TRUE,10.9
175,Tursiops truncatus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Delphinidae,FALSE,TRUE,15.6
176,Eschrichtius robustus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Eschrichtiidae,FALSE,TRUE,9.7
177,Giraffa_tippelskirchi,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Giraffidae,TRUE,TRUE,15.5
178,Okapia johnstoni,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Giraffidae,FALSE,TRUE,16.0
179,Hippopotamus_amphibius,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Hippopotamidae,TRUE,TRUE,8.5
180,Inia geoffrensis,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Iniidae,FALSE,TRUE,15.7
181,Lipotes vexillifer,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Lipotidae,FALSE,TRUE,11.0
182,Delphinapterus leucas,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Monodontidae,FALSE,TRUE,10.7
183,Monodon monoceros,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Monodontidae,FALSE,TRUE,13.1
184,Moschus_moschiferus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Moschidae,TRUE,TRUE,16.0
185,Neophocaena asiaeorientalis,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Phocoenidae,FALSE,TRUE,11.4
186,Phocoena_phocoena,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Phocoenidae,TRUE,TRUE,11.1
187,Kogia_breviceps,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Physeteridae,TRUE,TRUE,11.3
188,Platanista gangetica,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Platanistidae,FALSE,TRUE,11.7
189,Sus_scrofa,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Suidae,TRUE,TRUE,19.9
190,Catagonus_wagneri,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Tayassuidae,TRUE,TRUE,15.9
191,Tragulus_javanicus,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Tragulidae,TRUE,TRUE,19.8
192,Mesoplodon bidens,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Ziphiidae,FALSE,TRUE,13.0
193,Ziphius cavirostris,Boreoeutheria,Laurasiatheria,Cetartiodactyla,Ziphiidae,FALSE,FALSE,
194,Craseonycteris thonglongyai,Boreoeutheria,Laurasiatheria,Chiroptera,Craseonycteridae,FALSE,TRUE,31.3
195,Hipposideros_armiger,Boreoeutheria,Laurasiatheria,Chiroptera,Hipposideridae,TRUE,TRUE,20.3
196,Hipposideros galeritus,Boreoeutheria,Laurasiatheria,Chiroptera,Hipposideridae,FALSE,TRUE,19.0
197,Megaderma lyra,Boreoeutheria,Laurasiatheria,Chiroptera,Megadermatidae,FALSE,TRUE,23.9
198,Tadarida_brasiliensis,Boreoeutheria,Laurasiatheria,Chiroptera,Molossidae,TRUE,TRUE,19.7
199,Mormoops blainvillei,Boreoeutheria,Laurasiatheria,Chiroptera,Mormoopidae,FALSE,TRUE,20.9
200,Pteronotus_parnellii,Boreoeutheria,Laurasiatheria,Chiroptera,Mormoopidae,TRUE,TRUE,27.1
201,Noctilio_leporinus,Boreoeutheria,Laurasiatheria,Chiroptera,Noctilionidae,TRUE,TRUE,26.7
202,Anoura caudifer,Boreoeutheria,Laurasiatheria,Chiroptera,Phyllostomidae,FALSE,TRUE,23.2
203,Artibeus_jamaicensis,Boreoeutheria,Laurasiatheria,Chiroptera,Phyllostomidae,TRUE,TRUE,25.7
204,Carollia perspicillata,Boreoeutheria,Laurasiatheria,Chiroptera,Phyllostomidae,FALSE,TRUE,24.7
205,Desmodus rotundus,Boreoeutheria,Laurasiatheria,Chiroptera,Phyllostomidae,FALSE,TRUE,23.6
206,Micronycteris hirsuta,Boreoeutheria,Laurasiatheria,Chiroptera,Phyllostomidae,FALSE,TRUE,24.6
207,Tonatia saurophila,Boreoeutheria,Laurasiatheria,Chiroptera,Phyllostomidae,FALSE,TRUE,24.2
208,Eidolon helvum,Boreoeutheria,Laurasiatheria,Chiroptera,Pteropodidae,FALSE,TRUE,19.8
209,Macroglossus sobrinus,Boreoeutheria,Laurasiatheria,Chiroptera,Pteropodidae,FALSE,TRUE,19.4
210,Pteropus alecto,Boreoeutheria,Laurasiatheria,Chiroptera,Pteropodidae,FALSE,TRUE,16.9
211,Pteropus_vampyrus,Boreoeutheria,Laurasiatheria,Chiroptera,Pteropodidae,TRUE,TRUE,18.0
212,Rousettus aegyptiacus,Boreoeutheria,Laurasiatheria,Chiroptera,Pteropodidae,FALSE,TRUE,18.7
